population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
GAUGE_CORE,batt_fru,5B11M90167,8,0,0.0,0.0045,0.0,0.0377,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90135,8,0,0.0,0.0045,0.0,0.0377,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,LNV-5B11M90102,8,0,0.0,0.0045,0.0,0.0377,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M37552,10,0,0.0,0.0042,0.0,0.0356,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90056,10,0,0.0,0.0042,0.0,0.0356,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90129,10,0,0.0,0.0042,0.0,0.0356,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56385,10,0,0.0,0.0042,0.0,0.0356,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90163,12,0,0.0,0.004,0.0,0.0337,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90161,13,0,0.0,0.0039,0.0,0.0328,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90099,14,0,0.0,0.0038,0.0,0.032,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56386,14,0,0.0,0.0038,0.0,0.032,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,LNV-5B11H56404,14,0,0.0,0.0038,0.0,0.032,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90160,15,0,0.0,0.0037,0.0,0.0312,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90098,19,0,0.0,0.0034,0.0,0.0285,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56384,19,0,0.0,0.0034,0.0,0.0285,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
