group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
device_model,ThinkPad P16 Gen 3,7,0,0.0,0.0021,0.0,0.0241,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad L13 Gen 6,8,0,0.0,0.002,0.0,0.023,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 4,8,0,0.0,0.002,0.0,0.023,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad L16 Gen 1,8,0,0.0,0.002,0.0,0.023,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Yoga Gen 6,8,0,0.0,0.002,0.0,0.023,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad L14 Gen 5,8,0,0.0,0.002,0.0,0.023,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s Gen 3,9,0,0.0,0.0019,0.0,0.022,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T16 Gen 4,9,0,0.0,0.0019,0.0,0.022,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T16 Gen 5,10,0,0.0,0.0018,0.0,0.0211,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 5,10,0,0.0,0.0018,0.0,0.0211,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P1 Gen 6,10,0,0.0,0.0018,0.0,0.0211,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 7,12,0,0.0,0.0017,0.0,0.0194,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Yoga Gen 8,13,0,0.0,0.0016,0.0,0.0187,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P1 Gen 8,14,0,0.0,0.0016,0.0,0.0181,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad P1 Gen 7,13,0,0.0,0.0016,0.0,0.0187,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 6,13,0,0.0,0.0016,0.0,0.0187,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 9,16,0,0.0,0.0015,0.0,0.0169,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Yoga Gen 7,15,0,0.0,0.0015,0.0,0.0174,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 2-in-1 Gen 9,22,0,0.0,0.0012,0.0,0.014,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 2-in-1 Gen 11,24,0,0.0,0.0012,0.0,0.0133,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X9-14 Gen 1,23,0,0.0,0.0012,0.0,0.0137,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 14,26,0,0.0,0.0011,0.0,0.0126,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 2-in-1 Gen 10,25,0,0.0,0.0011,0.0,0.013,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 12,43,0,0.0,0.0008,0.0,0.0089,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 13,57,0,0.0,0.0006,0.0,0.0071,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s Gen 6,54,0,0.0,0.0006,0.0,0.0074,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
