user_id,design_mwh
LAPTOP-A68FDH6Q_amcclarnon,57029.743173281895
LAPTOP-A86VO230_PQM,57030.94777562862
LAPTOP-A9PSKJU9_panjun1,58000.20552872264
LAPTOP-A9RJIBMS_kurada,90000.0
LAPTOP-ADS95E8B_TM2,57032.414307004474
LAPTOP-APU7HF6F_Administrator,57032.289273189024
LAPTOP-APU7HF6F_Carl_Pan,57029.81029810298
LAPTOP-ARLD326G_X1CG14,58001.60032006401
LAPTOP-B21SDAHL_Nile,57999.80332382732
LAPTOP-BD8L6116_Think,54727.793696275075
LAPTOP-C1EEVLRC_86138,57029.70297029703
LAPTOP-C2TA9AP9_Thames-2_LNL_BE_SIT,57030.23650334298
LAPTOP-CIKD46CF_Zeus2,49569.546727517896
LAPTOP-CJP1C30S_TM2,57029.9541418675
LAPTOP-CPPVM862_LL,52799.03342730568
LAPTOP-CU8DTV76_CamTest,57031.171694898265
LAPTOP-D986V7T9_EAASIT1.12,56999.6801364751
LAPTOP-DCOJFCQ0_TM_X1_MTL,57029.78546136222
LAPTOP-DDJ0EVTT_T14s2in1,57999.80428613367
LAPTOP-E1AAB86F_X1_2-1,57029.52400080337
LAPTOP-E1N6C0NF_Nile,58000.999500249876
LAPTOP-ENFNG5MU_1,58000.999500249876
LAPTOP-EVNV9CFQ_Monica,57029.70297029703
LAPTOP-FEFDP1D9_test,57999.59951942331
LAPTOP-FG0TTKQT_amurugan1,57030.0
LAPTOP-G59PGF6O_Avon,58000.204478069725
LAPTOP-GAVGVR9P_panjun1,57029.769205039585
LAPTOP-GGLFATQJ_kazuk,54060.94606655616
LAPTOP-H0IEOCT5_zuyin,90001.01409593348
LAPTOP-H11NV2VL_hwpa,51970.4893537542
LAPTOP-H1CK928J_rreaves,16429.85791474885
LAPTOP-HR5L43FU_Avon1,58000.999500249876
LAPTOP-I551TCUQ_Eiger-1,57999.607381232825
LAPTOP-IHE4MH4F_mriddle,90003.07913373703
LAPTOP-II2JP927_Oak2-SVT-REX-1,90001.0276436132
LAPTOP-IJG7MG54_test,57030.62848050915
LAPTOP-J2HRJNCI_Feng,75000.0
LAPTOP-J2L4OE0Q_ANakamura,58000.63877355477
LAPTOP-J9M9N0H9_X9-14,55099.78938922877
LAPTOP-JHPGK11C_NL1SKU6SIT1LR,58001.01988781234
LAPTOP-JL4J612V_jnunez5,80000.0
LAPTOP-JLDUH829_11096,57028.59428114377
LAPTOP-K2B03PT9_Mersey2,56998.92399491343
LAPTOP-K2Q4C3UQ_1,72009.90799716914
LAPTOP-K5TN4699_ThinkPad,56999.40345993239
LAPTOP-K8IULGVA_Sun,57050.52246041151
LAPTOP-K9NORC70_SIT,55099.61344038061
LAPTOP-KQTSA7PM_1,57029.54590521515
LAPTOP-LM31Q23F_NL1SKU6LR,57998.41615521679
LAPTOP-LNBSJHQF_AV1SKU10SIT1p2,57998.40827695981
LAPTOP-LVNFDHDN_EAA,57030.847002991846
LAPTOP-MGP5FI9R_longrun,57997.60670123654
LAPTOP-MUEEDSGP_NL1SKU7SIT2LR,58002.2701475596
LAPTOP-N0IFBCJM_AV1,58000.0
LAPTOP-N4IHLN0J_MS2,57030.0
LAPTOP-OLNLOES4_SIT21,58000.0
LAPTOP-OMDL8LQ4_EESIT,57030.01579778831
LAPTOP-OTD6NS5M_lnvni,57030.42518475861
LAPTOP-OV7Q4J55_PE,57000.0
LAPTOP-P9BQ8OLJ_Neal,54700.251889168765
LAPTOP-Q5JPEGGD_Nate,58000.0
LAPTOP-Q6HOEUNN_tyler,57050.94946560133
LAPTOP-QQKPMET2_longrun,90000.0
LAPTOP-QQLCC3QB_jl240,51009.87432675045
LAPTOP-RCQD7R5B_kazuk,57000.0
LAPTOP-S8IHCLL8_x1,57029.70297029703
LAPTOP-SE41CTD4_gaojiangwei,51000.80064051241
LAPTOP-SH0NRR9B_Mesery2,57030.684988118606
LAPTOP-SHD3G568_Test,55099.85387238188
LAPTOP-SHOBTFD7_TM1,57032.14996334695
LAPTOP-SJCL3CJL_scollins1,57001.40028005601
LAPTOP-STAV4QJC_PQM,57000.0
LAPTOP-T2RCOIA2_SVT,56999.5988768552
LAPTOP-T4UU1BOP_Nikle,54699.83018679453
LAPTOP-T83863L5_EigerSIT11,58000.81433224756
LAPTOP-TH4417NP_MobilePE,57000.0
LAPTOP-TH5V7J86_CQE_Test,57001.40028005601
LAPTOP-TSQ0GU66_motty,16430.474160895046
LAPTOP-U4336J0U_P14s,75000.0
LAPTOP-UFSPNVK8_SIT2,46587.598834789846
