anchor,delay_h
start,17.44972222222222
start,16.876944444444444
start,120.46805555555555
start,15.832777777777778
start,46.18805555555556
start,7.951944444444444
start,13.9875
start,7.661944444444444
start,1.0252777777777777
start,1.2647222222222223
start,2.045
start,17.59777777777778
start,2.023888888888889
start,33.27638888888889
start,6.036666666666667
start,0.0
start,78.69777777777777
start,28.947777777777777
start,28.947777777777777
start,14.897222222222222
start,8.194722222222222
start,10.2075
start,146.84416666666667
start,54.57694444444444
start,140.42111111111112
start,123.98027777777777
start,113.0411111111111
start,19.704722222222223
start,75.97694444444444
start,53.86222222222222
start,73.32972222222222
start,4.757777777777778
start,26.545
start,49.17194444444444
start,99.31444444444445
start,6.668611111111111
start,158.4061111111111
start,11.020277777777778
start,47.61277777777778
start,24.45138888888889
start,13.559722222222222
start,21.34722222222222
start,19.888055555555557
start,24.70388888888889
start,20.200277777777778
start,22.953333333333333
start,124.18
start,142.7788888888889
start,69.26138888888889
start,18.503333333333334
start,5.934166666666667
